id,question,multiSelect,optionA,optionB,optionC,optionD,optionE,optionF,correctAnswers,times,domain
4121,Which AWS service provides the ability to host a NoSQL database in the AWS Cloud?,False,Amazon Aurora,Amazon DynamoDB,Amazon RDS,Amazon Redshift,,,B,9,Cloud Technology and Services
3220,Which of the following is an advantage that users experience when they move on-premises workloads to the AWS Cloud?,False,Elimination of expenses for running and maintaining data centers,Price discounts that are identical to discounts from hardware providers,Distribution of all operational controls to AWS,Elimination of operational expenses,,,A,10,Cloud Technology and Services
3222,"Which AWS service or tool helps users visualize, understand, and manage spending and usage over time?",False,AWS Organizations,AWS Pricing Calculator,AWS Cost Explorer,AWS Service Catalog,,,C,9,"Billing, Pricing, and Support"
3617,Which AWS service or feature is used to send both text and email messages from distributed applications?,False,Amazon Simple Notification Service (Amazon SNS),Amazon Simple Email Service (Amazon SES),Amazon CloudWatch alerts,Amazon Simple Queue Service (Amazon SQS),,,A,11,Cloud Technology and Services
3891,Which options are AWS Cloud Adoption Framework (AWS CAF) security perspective capabilities? (Choose two.),True,Observability,Incident and problem management,Incident response,Infrastructure protection,Availability and continuity,,"C,D",10,Cloud Concepts
3971,Which AWS service can a company use to securely store and encrypt passwords for a database?,False,AWS Shield,AWS Secrets Manager,AWS Identity and Access Management (IAM),Amazon Cognito,,,B,8,Security and Compliance
3228,Which AWS service provides the ability to manage infrastructure as code?,False,AWS CodePipeline,AWS CodeDeploy,AWS Direct Connect,AWS CloudFormation,,,D,10,Cloud Technology and Services
3233,What is the purpose of having an internet gateway within a VPC?,False,To create a VPN connection to the VPC,To allow communication between the VPC and the internet,To impose bandwidth constraints on internet traffic,To load balance traffic from the internet across Amazon EC2 instances,,,B,11,Security and Compliance
3239,Which of the following are pillars of the AWS Well-Architected Framework? (Choose two.),True,Availability,Reliability,Scalability,Responsive design,Operational excellence,,"B,E",10,Cloud Concepts
3557,"A company that has multiple business units wants to centrally manage and govern its AWS Cloud environments. The company wants to automate the creation of AWS accounts, apply service control policies (SCPs), and simplify billing processes. Which AWS service or tool should the company use to meet these requirements?",False,AWS Organizations,Cost Explorer,AWS Budgets,AWS Trusted Advisor,,,A,7,"Billing, Pricing, and Support"
3558,Which AWS service is used to provide encryption for Amazon EBS?,False,AWS Certificate Manager,AWS Systems Manager,AWS KMS,AWS Config,,,C,10,Security and Compliance
3620,What does the concept of agility mean in AWS Cloud computing? (Choose two.),True,The speed at which AWS resources are implemented,The speed at which AWS creates new AWS Regions,The ability to experiment quickly,The elimination of wasted capacity,The low cost of entry into cloud computing,,"A,C",8,Cloud Technology and Services
3641,A user is moving a workload from a local data center to an architecture that is distributed between the local data center and the AWS Cloud. Which type of migration is this?,False,On-premises to cloud native,Hybrid to cloud native,On-premises to hybrid,Cloud native to hybrid,,,C,6,Cloud Concepts
3803,A company needs to use dashboards and charts to analyze insights from business data. Which AWS service will provide the dashboards and charts for these insights?,False,Amazon Macie,Amazon Aurora,Amazon QuickSight,AWS CloudTrail,,,C,6,Security and Compliance
3893,Which characteristic of the AWS Cloud helps users eliminate underutilized CPU capacity?,False,Agility,Elasticity,Reliability,Durability,,,B,10,Cloud Technology and Services
3895,Which AWS Cloud service can send alerts to customers if custom spending thresholds are exceeded?,False,AWS Budgets,AWS Cost Explorer,AWS Cost Allocation Tags,AWS Organizations,,,A,9,"Billing, Pricing, and Support"
3908,Which of the following is a recommended design principle for AWS Cloud architecture?,False,Design tightly coupled components.,Build a single application component that can handle all the application functionality.,Make large changes on fewer iterations to reduce chances of failure.,Avoid monolithic architecture by segmenting workloads.,,,D,9,Cloud Concepts
3940,A company that uses AWS needs to transfer 2 TB of data. Which type of transfer of that data would result in no cost for the company?,False,Inbound data transfer from the internet,Outbound data transfer to the internet,Data transfer between AWS Regions,Data transfer between Availability Zones,,,A,8,Cloud Technology and Services
3948,"A company needs a content delivery network that provides secure delivery of data, videos, applications, and APIs to users globally with low latency and high transfer speeds. Which AWS service meets these requirements?",False,Amazon CloudFront,Elastic Load Balancing,Amazon S3,Amazon Elastic Transcoder,,,A,7,Cloud Technology and Services
4011,A company wants to migrate its applications to the AWS Cloud. The company plans to identify and prioritize any business transformation opportunities and evaluate its AWS Cloud readiness. Which AWS service or tool should the company use to meet these requirements?,False,AWS Cloud Adoption Framework (AWS CAF),AWS Managed Services (AMS),AWS Well-Architected Framework,AWS Migration Hub,,,A,7,Cloud Concepts
4028,Which cloud computing advantage is a company applying when it uses AWS Regions to increase application availability to users in different countries?,False,Pay-as-you-go pricing,Capacity forecasting,Economies of scale,Global reach,,,D,7,"Billing, Pricing, and Support"
4040,Which AWS service allows users to download security and compliance reports about the AWS infrastructure on demand?,False,Amazon GuardDuty,AWS Security Hub,AWS Artifact,AWS Shield,,,C,9,Security and Compliance
4102,A company needs Amazon EC2 instances for a workload that can tolerate interruptions. Which EC2 instance purchasing option meets this requirement with the LARGEST discount compared to On-Demand prices?,False,Spot Instances,Convertible Reserved Instances,Standard Reserved Instances,Dedicated Hosts,,,A,7,Cloud Technology and Services
4114,"When a user wants to utilize their existing per-socket, per-core, or per-virtual machine software licenses for a Microsoft Windows server running on AWS, which Amazon EC2 instance type is required?",False,Spot Instances,Dedicated Instances,Dedicated Hosts,Reserved Instances,,,C,7,Cloud Technology and Services
3214,Which option is a customer responsibility when using Amazon DynamoDB under the AWS Shared Responsibility Model?,False,Physical security of DynamoDB,Patching of DynamoDB,Access to DynamoDB tables,Encryption of data at rest in DynamoDB,,,C,8,Security and Compliance
3215,Which option is a perspective that includes foundational capabilities of the AWS Cloud Adoption Framework (AWS CAF)?,False,Sustainability,Performance efficiency,Governance,Reliability,,,C,8,Cloud Concepts
3218,Which AWS services or tools can identify rightsizing opportunities for Amazon EC2 instances? (Choose two.),True,AWS Cost Explorer,AWS Billing Conductor,Amazon CodeGuru,Amazon SageMaker,AWS Compute Optimizer,,"A,E",8,"Billing, Pricing, and Support"
3219,Which of the following are benefits of using AWS Trusted Advisor? (Choose two.),True,Providing high-performance container orchestration,Creating and rotating encryption keys,Detecting underutilized resources to save costs,Improving security by proactively monitoring the AWS environment,Implementing enforced tagging across AWS resources,,"C,D",8,Security and Compliance
3231,Which option is a physical location of the AWS global infrastructure?,False,AWS DataSync,AWS Region,Amazon Connect,AWS Organizations,,,B,7,Cloud Technology and Services
3237,Which AWS service or resource provides answers to the most frequently asked security-related questions that AWS receives from its users?,False,AWS Artifact,Amazon Connect,AWS Chatbot,AWS Knowledge Center,,,D,7,Security and Compliance
3238,"Which tasks are customer responsibilities, according to the AWS shared responsibility model? (Choose two.)",True,Configure the AWS provided security group firewall.,Classify company assets in the AWS Cloud.,Determine which Availability Zones to use for Amazon S3 buckets.,Patch or upgrade Amazon DynamoDB.,Select Amazon EC2 instances to run AWS Lambda on.,,"A,B",7,Security and Compliance
3549,Which pillar of the AWS Well-Architected Framework refers to the ability of a system to recover from infrastructure or service disruptions and dynamically acquire computing resources to meet demand?,False,Security,Reliability,Performance efficiency,Cost optimization,,,B,8,Cloud Concepts
3602,"A company is running and managing its own Docker environment on Amazon EC2 instances. The company wants an alternative to help manage cluster size, scheduling, and environment maintenance. Which AWS service meets these requirements?",False,AWS Lambda,Amazon RDS,AWS Fargate,Amazon Athena,,,C,8,Cloud Technology and Services
3606,"A company is using a central data platform to manage multiple types of data for its customers. The company wants to use AWS services to discover, transform, and visualize the data. Which combination of AWS services should the company use to meet these requirements? (Choose two.)",True,AWS Glue,Amazon Elastic File System (Amazon EFS),Amazon Redshift,Amazon QuickSight,Amazon Quantum Ledger Database (Amazon QLDB),,"A,D",7,Cloud Technology and Services
3610,A company is storing sensitive customer data in an Amazon S3 bucket. The company wants to protect the data from accidental deletion or overwriting. Which S3 feature should the company use to meet these requirements?,False,S3 Lifecycle rules,S3 Versioning,S3 bucket policies,S3 server-side encryption,,,B,7,Security and Compliance
3619,"A company runs thousands of simultaneous simulations using AWS Batch. Each simulation is stateless, is fault tolerant, and runs for up to 3 hours. Which pricing model enables the company to optimize costs and meet these requirements?",False,Reserved Instances,Spot Instances,On-Demand Instances,Dedicated Instances,,,B,7,Cloud Technology and Services
3625,A company is setting up AWS Identity and Access Management (IAM) on an AWS account. Which recommendation complies with IAM security best practices?,False,Use the account root user access keys for administrative tasks.,Grant broad permissions so that all company employees can access the resources they need.,Turn on multi-factor authentication (MFA) for added security during the login process.,Avoid rotating credentials to prevent issues in production applications.,,,C,7,Security and Compliance
3683,"According to the AWS shared responsibility model, which task is the customer's responsibility?",False,Maintaining the infrastructure needed to run AWS Lambda,Updating the operating system of Amazon DynamoDB instances,Maintaining Amazon S3 infrastructure,Updating the guest operating system on Amazon EC2 instances,,,D,6,Security and Compliance
3711,A company needs to deploy a PostgreSQL database into Amazon RDS. The database must be highly available and fault tolerant. Which AWS solution should the company use to meet these requirements?,False,Amazon RDS with a single Availability Zone,Amazon RDS snapshots,Amazon RDS with multiple Availability Zones,AWS Database Migration Service (AWS DMS),,,C,6,Cloud Technology and Services
3731,"A company uses Amazon Aurora as its database service. The company wants to encrypt its databases and database backups. Which party manages the encryption of the database clusters and database snapshots, according to the AWS shared responsibility model?",False,AWS,The company,AWS Marketplace partners,Third-party partners,,,B,5,Security and Compliance
3794,A company wants to set up a secure network connection from on premises to the AWS Cloud within 1 week. Which solution will meet these requirements?,False,AWS Direct Connect,Amazon VPC,AWS Site-to-Site VPN,Edge location,,,C,5,Security and Compliance
3817,Which AWS service can run a managed PostgreSQL database that provides online transaction processing (OLTP)?,False,Amazon DynamoDB,Amazon Athena,Amazon RDS,Amazon EMR,,,C,8,Cloud Technology and Services
3820,Which AWS service is a key-value database that provides sub-millisecond latency on a large scale?,False,Amazon DynamoDB,Amazon Aurora,Amazon DocumentDB (with MongoDB compatibility),Amazon Neptune,,,A,7,Cloud Technology and Services
3827,Which AWS service or feature can be used to create a private connection between an on-premises workload and an AWS Cloud workload?,False,Amazon Route 53,Amazon Macie,AWS Direct Connect,AWS PrivateLink,,,C,8,Security and Compliance
3832,A developer needs to maintain a development environment infrastructure and a production environment infrastructure in a repeatable fashion. Which AWS service should the developer use to meet these requirements?,False,AWS Ground Station,AWS Shield,AWS IoT Device Defender,AWS CloudFormation,,,D,7,Security and Compliance
3835,A company has a set of ecommerce applications. The applications need to be able to send messages to each other. Which AWS service meets this requirement?,False,AWS Auto Scaling,Elastic Load Balancing,Amazon Simple Queue Service (Amazon SQS),Amazon Kinesis Data Streams,,,C,7,Cloud Technology and Services
3841,Which AWS service provides highly durable object storage?,False,Amazon S3,Amazon Elastic File System (Amazon EFS),Amazon Elastic Block Store (Amazon EBS),Amazon FSx,,,A,7,Cloud Technology and Services
3846,Which tool should a developer use to integrate AWS service features directly into an application?,False,AWS Software Development Kit,AWS CodeDeploy,AWS Lambda,AWS Batch,,,A,7,Cloud Technology and Services
3848,Using AWS Identity and Access Management (IAM) to grant access only to the resources needed to perform a task is a concept known as:,False,restricted access.,as-needed access.,least privilege access.,token access.,,,C,9,Security and Compliance
3851,How does AWS Cloud computing help businesses reduce costs? (Choose two.),True,AWS charges the same prices for services in every AWS Region.,AWS enables capacity to be adjusted on demand.,AWS offers discounts for Amazon EC2 instances that remain idle for more than 1 week.,AWS does not charge for data sent from the AWS Cloud to the internet.,AWS eliminates many of the costs of building and maintaining on-premises data centers.,,"B,E",7,Cloud Technology and Services
3852,A company wants to grant users in one AWS account access to resources in another AWS account. The users do not currently have permission to access the resources. Which AWS service will meet this requirement?,False,IAM group,IAM role,IAM tag,IAM Access Analyzer,,,B,7,Security and Compliance
3856,A company is running a workload in the AWS Cloud. Which AWS best practice ensures the MOST cost-effective architecture for the workload?,False,Loose coupling,Rightsizing,Caching,Redundancy,,,B,7,Cloud Technology and Services
3870,"Which fully managed AWS service assists with the creation, testing, and management of custom Amazon EC2 images?",False,EC2 Image Builder,Amazon Machine Image (AMI),AWS Launch Wizard,AWS Elastic Beanstalk,,,A,7,Cloud Technology and Services
3872,A company needs to perform data processing once a week that typically takes about 5 hours to complete. Which AWS service should the company use for this workload?,False,AWS Lambda,Amazon EC2,AWS CodeDeploy,AWS Wavelength,,,B,7,Cloud Technology and Services
3883,Which Amazon EC2 pricing model is the MOST cost efficient for an uninterruptible workload that runs once a year for 24 hours?,False,On-Demand Instances,Reserved Instances,Spot Instances,Dedicated Instances,,,A,8,Cloud Technology and Services
3890,Which pricing model will interrupt a running Amazon EC2 instance if capacity becomes temporarily unavailable?,False,On-Demand Instances,Standard Reserved Instances,Spot Instances,Convertible Reserved Instances,,,C,7,Cloud Technology and Services
3892,A company wants to run its workload on Amazon EC2 instances for more than 1 year. This workload will run continuously. Which option offers a discounted hourly rate compared to the hourly rate of On-Demand Instances?,False,AWS Graviton processor,Dedicated Hosts,EC2 Instance Savings Plans,Amazon EC2 Auto Scaling instances,,,C,7,Security and Compliance
3909,Which AWS service helps users audit API activity across their AWS account?,False,AWS CloudTrail,Amazon Inspector,AWS WAF,AWS Config,,,A,7,Security and Compliance
3915,A company is running a critical workload on an Amazon RDS DB instance. The company needs the DB instance to be highly available with a recovery time of less than 5 minutes. Which solution will meet these requirements?,False,Create a read replica of the DB instance.,Create a template of the DB instance by using AWS CloudFormation.,Take frequent snapshots of the DB instance. Store the snapshots in Amazon S3.,Modify the DB instance to be a Multi-AZ deployment.,,,D,7,Cloud Technology and Services
3920,Which AWS service gives users the ability to build interactive business intelligence dashboards that include machine learning insights?,False,Amazon Athena,Amazon Kendra,Amazon QuickSight,Amazon Redshift,,,C,7,Cloud Technology and Services
3926,Which AWS service or tool can be used to capture information about inbound and outbound traffic in an Amazon VPC?,False,VPC Flow Logs,Amazon Inspector,VPC endpoint services,NAT gateway,,,A,8,Security and Compliance
3927,"What is the customer ALWAYS responsible for managing, according to the AWS shared responsibility model?",False,Software licenses,Networking,Customer data,Encryption keys,,,C,7,Security and Compliance
3931,Which action will help increase security in the AWS Cloud?,False,Enable programmatic access for all IAM users.,Use IAM users instead of IAM roles to delegate permissions.,Rotate access keys on a reoccurring basis.,Use inline policies instead of customer managed policies.,,,C,7,Security and Compliance
3933,Which of the following describes some of the core functionality of Amazon S3?,False,Amazon S3 is a high-performance block storage service that is designed for use with Amazon EC2.,"Amazon S3 is an object storage service that provides high-level performance, security, scalability, and data availability.","Amazon S3 is a fully managed, highly reliable, and scalable file storage system that is accessible over the industry-standard SMB protocol.","Amazon S3 is a scalable, fully managed elastic NFS for use with AWS Cloud services and on-premises resources.",,,B,7,Cloud Technology and Services
3947,"A user has limited knowledge of AWS services, but wants to quickly deploy a scalable Node.js application in the AWS Cloud. Which service should be used to deploy the application?",False,AWS CloudFormation,AWS Elastic Beanstalk,Amazon EC2,AWS OpsWorks,,,B,7,Cloud Technology and Services
3950,"A company needs fully managed, highly reliable, and scalable file storage that is accessible over the Server Message Block (SMB) protocol. Which AWS service will meet these requirements?",False,Amazon S3,Amazon Elastic File System (Amazon EFS),Amazon FSx for Windows File Server,Amazon Elastic Block Store (Amazon EBS),,,C,6,Cloud Technology and Services
3963,Which of the following is a way to use Amazon EC2 Auto Scaling groups to scale capacity in the AWS Cloud?,False,"Scale the number of EC2 instances in or out automatically, based on demand.",Use serverless EC2 instances.,"Scale the size of EC2 instances up or down automatically, based on demand.",Transfer unused CPU resources between EC2 instances.,,,A,6,Cloud Technology and Services
3965,Which AWS security service protects applications from distributed denial of service attacks with always-on detection and automatic inline mitigations?,False,Amazon Inspector,AWS Web Application Firewall (AWS WAF),Elastic Load Balancing (ELB),AWS Shield,,,D,7,Security and Compliance
